,source_id,ra,dec,l,b,parallax,parallax_nozpcorr,plx_over_error,r,r_err,r_helio,x,y,z,x_err,y_err,z_err,v_radial,v_radial_error,pmra,pmdec,pmra_err,pmdec_err,vx,vy,vz,vx_err,vy_err,vz_err,vr,vtheta,vphi,vr_err,vtheta_err,vphi_err,vabs,vabs_err,vabs_err_nocov,ruwe,rv_nb_transits,rv_expected_sig_to_noise,feH
5689731,5258306813859668608,150.80101947564947,-59.14655109354764,282.8096877027551,-3.013756622125517,0.620298477979611,0.5847494779796111,8.212597543597322,7.922416262344546,0.08055834262424064,15.964562829426644,-7.76506420221925,-1.5698301333224722,-0.06395875066947357,0.04346198579510607,0.19114903962953086,0.010320577651531567,-14.227598,7.756533,-9.546397811688484,2.4261712083448304,0.087145746,0.08791053,-58.73631180943419,245.02878936250045,-19.361818713659183,8.56633519739843,7.749171499960139,3.33839004190897,9.173465576416692,19.28838864647246,-251.8089505122271,8.535488440450163,3.3389924075938913,7.782876878563009,252.7131614406505,7.705610956100384,7.777069637598939,6.292437,12,5.9162893,-1.0
23033516,5524814963413632640,130.40763354749373,-42.9423448639023,262.460325698,-0.5343848153149414,1.664702927166025,1.6404879271660249,162.32970035084344,8.22242285471586,0.0007499985843266546,16.333682799475817,-8.200817051966169,-0.5954883042556001,0.01519741522190187,0.00048553685367385595,0.0036683878733748056,3.4513614982281455e-05,32.895096,2.0003006,-9.525076203441891,8.220242941185042,0.010572347,0.013063251,-26.14097572029106,217.42030638632716,0.8915461398536708,0.33218388773898905,1.9846883537484923,0.049770158768225575,10.327814633060644,-0.8724588420179,-218.74256594391233,0.3611468617194176,0.0497745497677922,1.979622818606548,218.98797933962655,1.9411649748697701,1.970879488008653,0.9271145,25,23.643785,-0.25
414551,4104554868740519808,278.3180493321669,-13.770834420270411,18.62490465340404,-2.298082198870038,0.5923769666121814,0.5500479666121815,18.04564979392253,6.545951916237745,0.09075733560755588,14.6555584861039,-6.523579417010309,0.5387015426393816,-0.04689059195608766,0.08857650465587624,0.02985215543863692,0.0037510753410988124,70.125946,6.3937407,-3.690607087237272,0.1697276419902377,0.034256153,0.029569669,84.45452843515805,257.05085879243705,31.03021850360873,6.045558258995356,2.167892657904713,1.57806779718494,-63.23406584946453,-30.57803869775593,-263.12928819320007,6.027547483826241,1.5786179208542575,2.2170854746251822,272.3427726955794,3.811393076131004,2.780973937943673,1.1644182,4,3.6895773,-0.5
10851325,5982169508047615488,237.97346148490192,-50.72620123917552,329.60849869288865,2.555692086943954,0.816178405394642,0.774658405394642,29.48733049555641,7.093669933240109,0.03751974488266344,15.200993359857717,-7.066188254412933,-0.619230574792426,0.07543321677941867,0.0358056062669414,0.020999885862361838,0.001852769167682087,-4.8961215,10.323811,2.679696106547254,-7.499700511218816,0.02833684,0.02236228,2.168113390096357,233.6725792215704,-35.87983070885336,8.935387570267412,5.188853797156736,1.5292987254683243,-22.93932978207793,35.63791169994702,-232.5911942577475,8.912303443882726,1.5321465039829287,5.227569584937656,236.42110152740042,5.086755629185475,5.1344333968309614,1.0095742,15,3.3300781,-0.25
23418785,5335307713451247360,178.27056091494094,-60.50145521139599,295.8046847607471,1.560250825368368,0.7681719147239011,0.7316519147239011,59.12043969020597,7.646030255046213,0.012508872906802533,15.721347140855174,-7.555533936357617,-1.1715468639358517,0.056245384099579555,0.009581560397904568,0.019816274541847374,0.0005995453397389316,25.229397,2.4878204,-1.0282087626411358,-4.541173039564854,0.012635581,0.0137561485,24.156125084069032,222.27038140081646,-20.347570710542456,1.0986971904380318,2.232481987878508,0.48414711973074304,-58.07681021881587,19.92088768652287,-215.9442215238711,1.1383113456286145,0.48420643297495,2.212532753814239,224.50315022502943,2.097995055456622,2.213873223440538,0.9845606,25,10.131292,-1.0
21524281,5640024854097922176,127.24544394150732,-32.60365297994879,252.6829059579749,3.661356913450706,0.7770809883001427,0.7549559883001428,58.03085667470073,8.592805254089676,0.009550840903783117,16.671727383105434,-8.504266670886258,-1.2260285396818358,0.10297837175806483,0.006587300150144279,0.021127183190737527,0.0014161150888866944,21.829596,1.5243695,-7.35434887164674,2.7426754092301504,0.011709242,0.013106808,-32.24697791287034,234.70855903442572,-16.966422204790398,0.8020107250403375,1.4649755891656584,0.47326050550619214,-1.777029324447645,16.946342812418063,-236.9082066603538,0.8208272725091966,0.47332875899996746,1.4544939534462276,237.52017756595092,1.4154722532880635,1.4521168355444094,0.98684824,23,19.660252,-0.5
449854,4092795424467684864,277.71057438904955,-19.845077991955883,12.950866127482008,-4.569496915738647,0.4353202777564831,0.3901002777564831,11.576513312795214,5.91492840430847,0.19625048617019322,14.022723133138618,-5.890390423575832,0.5131923516308209,-0.16221065368496618,0.19277044098913862,0.0443304765229789,0.01580878877258227,-35.53332,10.205627,4.335891394686544,-4.0123019106005415,0.04029274,0.02979967,-23.024693452414873,219.4570489562387,-50.76037227467329,9.892688891911147,2.8040009960788987,5.43872296509207,43.36180736098682,49.589871682374906,-216.63043767563298,9.855781279869406,5.443395382151669,2.922403919056914,226.42470765934988,1.5289094573021729,3.1439707986691867,1.29379,5,2.8061638,0.0
10913331,5902375440974970624,227.3304716072456,-49.31232610144384,324.7878644765804,7.61844543616714,0.6387357724235503,0.5979367724235503,32.989840835569304,6.9160926587799,0.04180358277520547,15.004609159555086,-6.854166114637725,-0.8947606447429807,0.2283592047637557,0.03843103977620011,0.027122308628365954,0.00629160976551204,25.63129,2.1652744,-10.8858260479651,-10.153290028694444,0.019411827,0.0203912,-25.537950750487312,140.73481002266513,-11.921871476526434,2.531421224811463,3.0197195744735925,0.7449851255837286,6.708255732959742,12.14999312038043,-142.856507280378,2.5391103338255325,0.7492886820979752,3.0121898590172265,143.5291075014151,2.7895515791090624,2.9956314744554207,1.1608999,16,8.489355,-0.75
8215105,5334591244187485824,178.34848020799018,-62.802900126110906,296.35541476699365,-0.6746470456175411,0.3268707716085172,0.2920697716085172,22.96783720653784,7.298289488395879,0.09962738555243893,15.136231260559171,-6.763948739023572,-2.741130278351292,-0.015222003711092814,0.05912839109595636,0.11934646931279294,0.001568367251437984,-7.5271287,2.6789534,-7.024942262260729,1.196621429410084,0.013641765,0.014896015,-82.74701368994268,206.01178244105358,3.1176611791699385,4.185077115912838,3.1270186971372533,0.27437821282290603,-0.6927695452907702,-3.1162230513836247,-222.00777422113578,4.052583486691878,0.27450777845520047,3.29690951726235,222.03072442878633,2.695857621674371,3.2940691019848836,1.0243691,14,7.7922406,0.0
254817,4145500754828743424,269.68825479364983,-15.137933157397052,13.438830577923737,4.3977646997457365,1.915697816208112,1.879035816208112,115.12122784546995,7.61698841768726,0.004416001752842507,15.738367393358923,-7.615785006966351,0.12096002479553322,0.0608272574580795,0.0043972341375055,0.0010507186820305707,0.00034769658217864973,12.077051,0.26861596,-9.405333150971682,-8.280866676429326,0.018636253,0.013471889,30.94459743738871,219.82234132604754,18.611788200738648,0.2657793307849131,0.2530838892625926,0.10181237430744842,-27.300235987933974,-18.830401109442537,-220.28604500902273,0.2657689744242872,0.10183124853271251,0.25308717133550657,222.76855369790536,0.24768018953609505,0.25259418562969044,0.914214,4,79.51283,-1.0
